id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,total_kasus,recovery_rate,mortality_rate,active_cases,risk_score,kecamatan_positif_mean,kecamatan_positif_std,kecamatan_positif_min,kecamatan_positif_max,kecamatan_positif_sum,positif_vs_kecamatan_mean,positif_percentile,sembuh_percentile,meninggal_percentile,covid_burden,nama_provinsi_encoded,nama_provinsi_BELUM DIKETAHUI,nama_provinsi_DKI JAKARTA,nama_provinsi_LUAR DKI JAKARTA,nama_kota_encoded,nama_kota_BELUM DIKETAHUI,nama_kota_JAKARTA BARAT,nama_kota_JAKARTA PUSAT,nama_kota_JAKARTA SELATAN,nama_kota_JAKARTA TIMUR,nama_kota_JAKARTA UTARA,nama_kota_KAB.ADM.KEP.SERIBU,nama_kota_LUAR DKI JAKARTA
3172031001,DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,14,0,14,2,0,2,1,1,0,0,0,1,0.0,0.0,1,-0.7679218093324711,9.666666666666666,7.420691791650336,1,18,58,0.10344827586206898,4.83271375464684,20.817843866171003,20.63197026022305,2.5,1,False,True,False,5,False,False,False,False,False,True,False,False
3174061004,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,9,0,9,2,0,2,3,1,1,1,0,3,0.3333333333333333,0.3333333333333333,1,0.22715913206375357,15.2,10.401922899156673,3,25,76,0.19736842105263158,14.684014869888475,55.20446096654275,53.71747211895911,7.5,1,False,True,False,3,False,False,False,True,False,False,False,False
3173061004,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,6,0,6,4,0,4,2,1,1,0,0,2,0.5,0.0,1,-0.7271044057258241,16.8,12.77497553813705,2,30,84,0.11904761904761904,9.107806691449815,55.20446096654275,20.63197026022305,3.5,1,False,True,False,1,False,True,False,False,False,False,False,False
3171041001,DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,5,0,5,4,0,4,3,0,0,1,2,3,0.0,0.3333333333333333,0,0.2171925566083699,9.666666666666666,6.15358973824764,3,17,58,0.3103448275862069,14.684014869888475,20.817843866171003,53.71747211895911,9.0,1,False,True,False,2,False,False,True,False,False,False,False,False
3175101004,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,MUNJUL,7,0,7,3,2,1,4,1,1,0,2,4,0.25,0.0,1,-0.6454695985125299,4.875,2.6423744732991303,1,9,39,0.8205128205128205,19.702602230483272,55.20446096654275,20.63197026022305,8.5,1,False,True,False,4,False,False,False,False,True,False,False,False
3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,12,0,12,4,0,4,3,0,1,2,0,3,0.3333333333333333,0.6666666666666666,0,1.1306386907913002,6.125,3.313931631332013,3,12,49,0.4897959183673469,14.684014869888475,55.20446096654275,74.53531598513011,9.0,1,False,True,False,3,False,False,False,True,False,False,False,False
3173041001,DKI JAKARTA,JAKARTA BARAT,TAMBORA,TAMBORA,2,0,2,0,0,0,1,0,0,0,1,1,0.0,0.0,0,-0.7778883847878548,2.8181818181818183,2.088931871468374,0,6,31,0.3548387096774193,4.83271375464684,20.817843866171003,20.63197026022305,2.5,1,False,True,False,1,False,True,False,False,False,False,False,False
3174071008,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,4,0,4,2,1,1,2,1,1,0,0,2,0.5,0.0,1,-0.7271044057258241,5.8,4.589843860815601,1,17,58,0.3448275862068966,9.107806691449815,55.20446096654275,20.63197026022305,3.5,1,False,True,False,3,False,False,False,True,False,False,False,False
3175091005,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,RAMBUTAN,8,1,7,5,2,3,3,0,0,0,3,3,0.0,0.0,0,-0.6962535775745607,8.4,6.730527468185536,1,18,42,0.35714285714285715,14.684014869888475,20.817843866171003,20.63197026022305,7.5,1,False,True,False,4,False,False,False,False,True,False,False,False
3173041010,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ROA MALAKA,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,-0.818705788394502,2.8181818181818183,2.088931871468374,0,6,31,0.0,1.486988847583643,20.817843866171003,20.63197026022305,0.0,1,False,True,False,1,False,True,False,False,False,False,False,False
3171011006,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,8,0,8,5,3,2,1,0,0,0,1,1,0.0,0.0,0,-0.7778883847878548,5.666666666666667,4.273952113286562,1,11,34,0.1764705882352941,4.83271375464684,20.817843866171003,20.63197026022305,2.5,1,False,True,False,2,False,False,True,False,False,False,False,False
3173071006,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,8,0,8,2,0,2,4,4,0,0,0,4,0.0,0.0,4,-0.6155698721463788,12.166666666666666,8.232051182218601,4,27,73,0.32876712328767127,19.702602230483272,20.817843866171003,20.63197026022305,10.0,1,False,True,False,1,False,True,False,False,False,False,False,False
3171011004,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,20,3,17,3,0,3,3,1,1,1,0,3,0.3333333333333333,0.3333333333333333,1,0.22715913206375357,5.666666666666667,4.273952113286562,1,11,34,0.5294117647058824,14.684014869888475,55.20446096654275,53.71747211895911,7.5,1,False,True,False,2,False,False,True,False,False,False,False,False
