id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,total_kasus,recovery_rate,mortality_rate,active_cases,risk_score,kecamatan_positif_mean,kecamatan_positif_std,kecamatan_positif_min,kecamatan_positif_max,kecamatan_positif_sum,positif_vs_kecamatan_mean,positif_percentile,sembuh_percentile,meninggal_percentile,covid_burden,nama_provinsi_encoded,nama_provinsi_BELUM DIKETAHUI,nama_provinsi_DKI JAKARTA,nama_provinsi_LUAR DKI JAKARTA,nama_kota_encoded,nama_kota_BELUM DIKETAHUI,nama_kota_JAKARTA BARAT,nama_kota_JAKARTA PUSAT,nama_kota_JAKARTA SELATAN,nama_kota_JAKARTA TIMUR,nama_kota_JAKARTA UTARA,nama_kota_KAB.ADM.KEP.SERIBU,nama_kota_LUAR DKI JAKARTA
3172021007,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,0.0,1,0.0,0.0,2,0.0,1.0,0.0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,4,30,4.0,0.0,2.0,20.817843866171003,53.71747211895911,26.5,1,False,True,False,5,False,False,False,False,False,True,False,False
3172031001,DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,18,2.0,0.0,0.0,20.817843866171003,20.63197026022305,2.5,1,False,True,False,5,False,False,False,False,False,True,False,False
3175091004,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,SUSUKAN,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,18,1.0,0.0,0.0,20.817843866171003,20.63197026022305,2.5,1,False,True,False,4,False,False,False,False,True,False,False,False
3175051001,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3,19,1.0,0.0,1.0,20.817843866171003,20.63197026022305,12.5,1,False,True,False,4,False,False,False,False,True,False,False,False
3175071006,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,0.0,0,0.0,0.0,2,0.0,1.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,6,30,4.0,0.0,1.0,20.817843866171003,20.63197026022305,15.0,1,False,True,False,4,False,False,False,False,True,False,False,False
3174031001,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,14,1.0,0.0,0.0,20.817843866171003,20.63197026022305,7.5,1,False,True,False,3,False,False,False,True,False,False,False,False
3171021005,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,0.0,2,0.0,0.0,4,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5,17,2.0,0.0,1.0,20.817843866171003,20.63197026022305,12.5,1,False,True,False,2,False,False,True,False,False,False,False,False
3175031004,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5,20,3.0,0.0,1.0,20.817843866171003,20.63197026022305,12.5,1,False,True,False,4,False,False,False,False,True,False,False,False
3173071006,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4,27,2.0,0.0,0.0,20.817843866171003,20.63197026022305,10.0,1,False,True,False,1,False,True,False,False,False,False,False,False
3173061002,DKI JAKARTA,JAKARTA BARAT,KALI DERES,SEMANAN,0.0,0,0.0,0.0,1,0.0,1.0,0.0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,2,30,3.0,0.0,2.0,20.817843866171003,53.71747211895911,21.5,1,False,True,False,1,False,True,False,False,False,False,False,False
3171021003,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,0.0,0,0.0,0.0,3,0.0,1.0,0.0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5,17,2.0,0.0,2.0,20.817843866171003,53.71747211895911,24.0,1,False,True,False,2,False,False,True,False,False,False,False,False
3175011004,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,0.0,1,0.0,0.0,5,0.0,2.0,0.0,0,2,0.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,2,27,3.0,1.0,3.0,20.817843866171003,74.53531598513011,33.0,1,False,True,False,4,False,False,False,False,True,False,False,False
3173031001,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,0.0,1,0.0,0.0,2,0.0,1.0,0.0,0,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1,30,2.0,1.0,2.0,20.817843866171003,74.53531598513011,23.0,1,False,True,False,1,False,True,False,False,False,False,False,False
