PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,positif,sembuh,meninggal
-0.16343613638945684,0.6093879066554705,1.2382351770834414,-2.3520564186010704,0.279977860946934,-0.6586244722835358,1.2459926212152643,0.1601765265610537,10,0,1
-2.6951771747660915,-2.2209889607674453,1.0149162096149338,-1.147377062876845,0.5642923278981523,-0.24133929942449217,1.3348661151743195,-0.4574552710260278,1,0,0
-2.7866323703053233,-2.4711241596093787,0.7359784134524097,-0.8473303877287456,0.4086397457469763,-0.2184964276062233,0.6545205253107187,-0.5367539268630555,1,0,0
-2.1774886973924894,-1.9647980343526041,0.03704203421743616,-0.5783190619587868,0.5304328598564526,-0.9050452239896549,0.5328573043159043,-0.3892158946852006,5,0,0
-0.9262551384491388,0.014562194274945317,3.266709400497078,-2.249429853965157,0.7202099454013036,-0.9486947306231702,0.6713066685152999,0.369967069054596,6,0,0
-2.624517291132495,-2.4803609844286236,0.12559575901626677,-0.39105057818272243,0.18242623287261425,-0.5585419189982109,-0.05740884844778388,-0.6138965548472369,3,0,0
-1.6480557098693054,-2.07424577614916,0.7993957662156961,-0.5872823266621997,0.24494612589637121,-0.7394706225190351,-0.7767256492490328,0.6073075441138834,5,0,0
-1.8677670533633053,-1.6472473535527172,0.8126934039129124,-0.9420903606636988,0.6352056599976773,-0.7832687739595344,0.4732150060930079,0.6903350618606934,5,0,0
-1.8082000053418354,-1.1912797577365617,2.1274289744592956,-1.1304765230554432,0.055334820015702564,-0.6406900908744607,-1.3480411601922158,-0.1178883939936752,4,0,0
-0.5487921418535074,0.714905845040545,2.008004572341829,-2.196392594444288,-0.6014297657535417,-0.2794522374468726,-1.2421783760358722,-1.0371999314372051,8,0,1
-0.7065086216806371,-0.8124840253128781,-0.45783183006866973,-0.9615970955643437,-0.3738335457973652,-0.42933794003413905,-0.8599760112152449,0.6855438701809188,9,0,1
0.2418642435828892,0.8262671818843204,-0.06707886623601766,-2.200531005002844,-0.48827550963504157,-0.3535201710507342,0.6075548915879855,-0.6506077706210733,12,0,2
-0.4733379513660814,0.3264831859678769,-0.5468527568920157,-1.7158242253432736,-1.460942185529078,0.2736592294412669,-1.4115073792272208,-1.5909955410528673,8,0,2
-3.153616877037062,-3.236590766445432,-1.019070350499343,0.5694537085964178,-0.1798188721029411,-0.5129134277833386,-1.5836072835781376,-0.12282690562588046,2,0,0
-0.6465654419555301,0.29570209800183783,1.7212566245784005,-0.5283620203053235,-0.6829993784812056,2.916179877209384,0.4261950286528395,-0.7693820197528911,3,1,1
-0.7530984833433876,-0.9946383619530057,-0.3607854250583745,-1.0369546609040399,-0.4394344177596458,-0.21098764781835674,-0.8433980814834933,0.6598724279067005,8,0,1
-1.4782722349734077,-1.4166417736601062,0.3431973547841608,-0.44071147992485205,0.369799917940873,-1.2152318130060786,-0.8738873952498084,0.669359751866422,8,0,0
