total_surveillance,total_surveillance,odp_completion_rate,pdp_recovery_rate,case_fatality_rate,recovery_rate,active_case_rate,suspected_to_probable_ratio,probable_to_confirmed_ratio,hospitalization_rate,severity_score,kecamatan_encoded,kecamatan_avg_cfr,kecamatan_avg_recovery,year,month,data_completeness,data_consistency_flag,id_kel,nama_kecamatan,nama_kelurahan
31,31,1.0,0.6,0.0,0.1111111111111111,0.8888888888888888,1.2,1.1111111111111112,0.7777777777777778,0.2333333333333333,32,0.056,0.121,2020,5,1.0,0,3174081002,PANCORAN,KALIBATA
34,34,1.0,0.8571428571428571,0.0,0.0666666666666666,0.9333333333333332,1.7142857142857142,0.4666666666666667,0.4,0.12,3,0.1,0.095,2020,5,1.0,0,3173011001,CENGKARENG,CENGKARENG BARAT
26,26,1.0,0.4,0.125,0.0,0.875,2.6,0.625,0.875,0.35,40,0.168,0.223,2020,5,1.0,0,3174021005,SETIA BUDI,MENTENG ATAS
14,14,1.0,1.0,0.0,0.0,1.0,9.0,0.25,0.5,0.15,11,0.06,0.078,2020,5,1.0,0,3174091006,JAGAKARSA,CIPEDAK
50,50,1.0,0.7,0.1428571428571428,0.2857142857142857,0.5714285714285714,3.3,1.4285714285714286,0.2857142857142857,0.1857142857142857,13,0.134,0.136,2020,5,1.0,0,3171081004,JOHAR BARU,TANAH TINGGI
61,61,0.975,0.7272727272727273,0.2,0.1,0.7,3.636363636363636,1.1,0.5,0.29,7,0.073,0.053,2020,5,1.0,0,3175091002,CIRACAS,CIBUBUR
12,12,1.0,1.0,0.0,0.5,0.5,1.5,2.0,0.5,0.15,14,0.071,0.24,2020,5,1.0,0,3173061004,KALI DERES,KAMAL
49,49,0.9583333333333334,0.7,0.0,0.0666666666666666,0.9333333333333332,2.4,0.6666666666666666,0.6,0.18,37,0.111,0.087,2020,5,1.0,0,3175021001,PULO GADUNG,PULO GADUNG
36,36,1.0,0.7142857142857143,0.0,0.125,0.875,3.0,0.875,0.25,0.075,19,0.118,0.047,2020,5,1.0,0,3171031008,KEMAYORAN,UTAN PANJANG
34,34,1.0,0.7142857142857143,0.1,0.1,0.8,2.4285714285714284,0.7,0.5,0.2199999999999999,27,0.095,0.111,2020,5,1.0,0,3174031004,MAMPANG PRAPATAN,TEGAL PARANG
27,27,0.9411764705882352,1.0,0.0,0.2,0.8,3.4,1.0,0.6,0.18,6,0.042,0.13,2020,5,1.0,0,3175101006,CIPAYUNG,BAMBU APUS
16,16,1.0,0.5,0.0,0.4,0.6,1.75,0.8,0.4,0.12,24,0.1,0.089,2020,5,1.0,0,3175041005,KRAMAT JATI,BALE KAMBANG
