PC1,PC2,PC3,PC4,PC5,PC6,positif,sembuh,meninggal
-0.16343613638945684,0.6093879066554705,1.2382351770834414,-2.3520564186010704,0.279977860946934,-0.6586244722835358,10,0,1
-2.6951771747660915,-2.2209889607674453,1.0149162096149338,-1.147377062876845,0.5642923278981523,-0.24133929942449217,1,0,0
-2.7866323703053233,-2.4711241596093787,0.7359784134524097,-0.8473303877287456,0.4086397457469763,-0.2184964276062233,1,0,0
-2.1774886973924894,-1.9647980343526041,0.03704203421743616,-0.5783190619587868,0.5304328598564526,-0.9050452239896549,5,0,0
-0.9262551384491388,0.014562194274945317,3.266709400497078,-2.249429853965157,0.7202099454013036,-0.9486947306231702,6,0,0
-2.624517291132495,-2.4803609844286236,0.12559575901626677,-0.39105057818272243,0.18242623287261425,-0.5585419189982109,3,0,0
-1.6480557098693054,-2.07424577614916,0.7993957662156961,-0.5872823266621997,0.24494612589637121,-0.7394706225190351,5,0,0
-1.8677670533633053,-1.6472473535527172,0.8126934039129124,-0.9420903606636988,0.6352056599976773,-0.7832687739595344,5,0,0
-1.8082000053418354,-1.1912797577365617,2.1274289744592956,-1.1304765230554432,0.055334820015702564,-0.6406900908744607,4,0,0
-0.5487921418535074,0.714905845040545,2.008004572341829,-2.196392594444288,-0.6014297657535417,-0.2794522374468726,8,0,1
-0.7065086216806371,-0.8124840253128781,-0.45783183006866973,-0.9615970955643437,-0.3738335457973652,-0.42933794003413905,9,0,1
0.2418642435828892,0.8262671818843204,-0.06707886623601766,-2.200531005002844,-0.48827550963504157,-0.3535201710507342,12,0,2
-0.4733379513660814,0.3264831859678769,-0.5468527568920157,-1.7158242253432736,-1.460942185529078,0.2736592294412669,8,0,2
-3.153616877037062,-3.236590766445432,-1.019070350499343,0.5694537085964178,-0.1798188721029411,-0.5129134277833386,2,0,0
-0.6465654419555301,0.29570209800183783,1.7212566245784005,-0.5283620203053235,-0.6829993784812056,2.916179877209384,3,1,1
-0.7530984833433876,-0.9946383619530057,-0.3607854250583745,-1.0369546609040399,-0.4394344177596458,-0.21098764781835674,8,0,1
-1.4782722349734077,-1.4166417736601062,0.3431973547841608,-0.44071147992485205,0.369799917940873,-1.2152318130060786,8,0,0
-1.3542804876938206,-1.2557972032974787,-0.49027541125497187,-0.3939408928467665,0.5613839165981102,-1.755621240849035,10,0,0
0.40956250261491456,0.6172659817455546,-1.8943816016555288,-0.8517262637262188,-0.5007146191749037,-1.3127777015218165,17,0,2
-0.7988589821146754,-0.6200344024209751,-2.546385765444924,-0.8690875089853674,-0.9009908455298421,0.07962727675960618,9,0,2
-2.0428392510614306,-1.5204736942768642,0.8689852274415616,-1.0097873309964431,0.5120350365873151,-0.8416732454124163,5,0,0
-1.8553964594137689,-1.9433940320440355,0.006511238365629079,1.5310521591075952,0.6893279085913668,0.22725304608944857,5,1,0
4.3939995329711925,3.4118414684651275,-0.27748421599876627,-1.9246538271190632,1.64815164356799,-1.3905147823644992,30,1,3
-1.967315442819663,-2.645400122263904,-1.1916727154408124,-0.05032752428511435,0.7739975122344861,-1.0318124192957883,6,0,0
0.03526635544405185,0.9698233513120941,2.397156931063954,-2.485716697093357,-0.2968292823633951,-0.4762230458939674,9,0,1
-2.703556816014623,-2.8895223026504615,-1.5597460274746044,0.8103311114266919,-0.13775805261923132,-1.092124672903183,4,0,0
-0.6474156987551305,-0.28707097928172354,0.798678077770638,0.11626046950067082,-0.4600433227929672,1.2567118373299588,6,1,1
-2.3282051025243864,-1.4098982067894377,1.6802449834547135,-0.9166776075885954,-0.11538514242118919,-0.6636245722971963,3,0,0
1.4796656288094234,1.9608271900014071,0.5710563308423425,-0.8306613794704749,0.6022145675235095,-1.6729245965408068,21,1,1
-0.9296449347636379,-1.1573178072306771,-0.18044814485513117,-1.2484093493801363,-0.5953415095758001,0.2413640933886617,6,0,1
-2.856961913441476,-2.926149251892381,-0.15166542712294892,-0.05376734450578145,0.024104347462502826,-0.3764153576535343,2,0,0
-1.2077668718593824,-0.669925284558714,1.3851627304225582,-1.3101983234065129,0.4883734753270771,-1.3987972332523286,8,0,0
-0.6110116101071357,-0.3754166233412204,0.5867784619716903,1.7583994699500463,-0.2634415312198197,2.569843510591811,5,2,1
-1.404251012058539,-1.6957216577698289,-1.453368549988521,-0.7591184667444077,-0.44683946785701667,0.22002885470175854,6,0,1
-0.9021499239652109,-0.8303021374797083,-0.27613450165268616,-1.470003968494958,-0.15863884432830958,-0.05653435097220238,7,0,1
-3.096771045875552,-2.8368073912292893,0.5326553939189359,-0.5499786822554135,0.17556135766120542,-0.05396030948508867,0,0,0
-1.9705082193339944,-1.4632441519126134,1.5872768442245118,1.5360630513281779,0.4427484215803048,0.9628161626028124,3,1,0
