sembuh,recovery_rate,risk_score,kecamatan_positif_max,positif_vs_kecamatan_mean,positif_percentile,sembuh_percentile,meninggal_percentile,nama_provinsi_encoded,nama_kota_encoded,sembuh
0,0.0,-0.11656476116238457,30,0.6542056074766355,57.249070631970255,20.817843866171003,53.71747211895911,1,5,0
0,0.0,-0.7679218093324711,18,0.10344827586206898,4.83271375464684,20.817843866171003,20.63197026022305,1,5,0
0,0.0,-0.7778883847878548,18,0.11904761904761904,4.83271375464684,20.817843866171003,20.63197026022305,1,4,0
0,0.0,-0.5847190439951154,19,0.7352941176470589,24.721189591078065,20.817843866171003,20.63197026022305,1,4,0
0,0.0,-0.523968489477701,30,0.3387096774193548,31.970260223048324,20.817843866171003,20.63197026022305,1,4,0
0,0.0,-0.6663538512084096,14,0.39473684210526316,14.684014869888475,20.817843866171003,20.63197026022305,1,3,0
0,0.0,-0.5747524685397318,17,0.45454545454545453,24.721189591078065,20.817843866171003,20.63197026022305,1,2,0
0,0.0,-0.5847190439951154,20,0.5333333333333333,24.721189591078065,20.817843866171003,20.63197026022305,1,4,0
0,0.0,-0.6155698721463788,27,0.32876712328767127,19.702602230483272,20.817843866171003,20.63197026022305,1,1,0
0,0.0,-0.11972453285657525,30,0.47619047619047616,46.28252788104089,20.817843866171003,53.71747211895911,1,1,0
0,0.0,-0.07710108301934886,17,0.8181818181818182,52.41635687732342,20.817843866171003,53.71747211895911,1,2,0
0,0.0,0.16769242379826307,27,0.9113924050632912,64.12639405204462,20.817843866171003,74.53531598513011,1,4,0
0,0.0,0.22281776746202378,30,1.2075471698113207,46.28252788104089,20.817843866171003,74.53531598513011,1,1,0
0,0.0,-0.7171378302704404,6,0.7096774193548386,9.107806691449815,20.817843866171003,20.63197026022305,1,1,0
1,0.3333333333333333,0.22715913206375357,25,0.19736842105263158,14.684014869888475,55.20446096654275,53.71747211895911,1,3,1
0,0.0,-0.08982480649042417,17,0.7272727272727273,46.28252788104089,20.817843866171003,53.71747211895911,1,2,0
0,0.0,-0.4323671068090231,18,0.7547169811320755,46.28252788104089,20.817843866171003,20.63197026022305,1,2,0
0,0.0,-0.350732299595729,18,1.1904761904761905,57.249070631970255,20.817843866171003,20.63197026022305,1,4,0
0,0.0,0.24741570343645122,17,1.7586206896551726,80.85501858736059,20.817843866171003,74.53531598513011,1,2,0
0,0.0,0.19748123534214357,12,1.469387755102041,52.41635687732342,20.817843866171003,74.53531598513011,1,3,0
0,0.0,-0.5747524685397318,23,0.5102040816326531,24.721189591078065,20.817843866171003,20.63197026022305,1,4,0
1,0.2,-0.6046521949058828,12,0.6976744186046512,24.721189591078065,55.20446096654275,20.63197026022305,1,3,1
1,0.03333333333333333,0.9090813955336147,30,1.7355371900826446,96.6542750929368,55.20446096654275,86.61710037174721,1,2,1
0,0.0,-0.5339350649330847,9,0.9545454545454546,31.970260223048324,20.817843866171003,20.63197026022305,1,5,0
0,0.0,-0.10700080938549994,30,0.5206611570247934,52.41635687732342,20.817843866171003,53.71747211895911,1,2,0
0,0.0,-0.6255364476017625,6,1.4193548387096773,19.702602230483272,20.817843866171003,20.63197026022305,1,1,0
1,0.16666666666666666,-0.09714514875238683,19,0.48,31.970260223048324,55.20446096654275,53.71747211895911,1,1,1
0,0.0,-0.6763204266637933,30,0.4528301886792453,14.684014869888475,20.817843866171003,20.63197026022305,1,1,0
1,0.047619047619047616,0.3284171995145016,30,1.3738317757009346,87.73234200743495,55.20446096654275,53.71747211895911,1,5,1
0,0.0,-0.08717857329700314,18,0.6575342465753424,31.970260223048324,20.817843866171003,53.71747211895911,1,2,0
0,0.0,-0.7171378302704404,11,0.3529411764705882,9.107806691449815,20.817843866171003,20.63197026022305,1,2,0
0,0.0,-0.4323671068090231,28,0.7,46.28252788104089,20.817843866171003,20.63197026022305,1,4,0
2,0.4,-0.056584514396124476,18,0.4716981132075472,24.721189591078065,76.2081784386617,53.71747211895911,1,2,2
0,0.0,-0.07721199784161945,12,0.8372093023255813,31.970260223048324,20.817843866171003,53.71747211895911,1,3,0
0,0.0,-0.10164074667661027,20,0.7466666666666667,39.405204460966544,20.817843866171003,53.71747211895911,1,4,0
0,0.0,-0.818705788394502,14,0.0,1.486988847583643,20.817843866171003,20.63197026022305,1,3,0
1,0.3333333333333333,-0.6763204266637933,17,0.3103448275862069,14.684014869888475,55.20446096654275,20.63197026022305,1,2,1
0,0.0,-0.04661793894074079,9,0.7954545454545455,24.721189591078065,20.817843866171003,53.71747211895911,1,5,0
0,0.0,-0.7778883847878548,28,0.0875,4.83271375464684,20.817843866171003,20.63197026022305,1,4,0
0,0.0,-0.818705788394502,6,0.0,1.486988847583643,20.817843866171003,20.63197026022305,1,1,0
0,0.0,0.2171925566083699,17,0.3103448275862069,14.684014869888475,20.817843866171003,53.71747211895911,1,2,0
0,0.0,-0.553868215843852,18,0.6575342465753424,31.970260223048324,20.817843866171003,20.63197026022305,1,2,0
0,0.0,0.38417254551701224,28,1.1375,68.21561338289963,20.817843866171003,86.61710037174721,1,4,0
0,0.0,-0.7171378302704404,18,0.20689655172413796,9.107806691449815,20.817843866171003,20.63197026022305,1,5,0
0,0.0,0.23712570751913722,6,1.064516129032258,14.684014869888475,20.817843866171003,53.71747211895911,1,1,0
0,0.0,-0.818705788394502,6,0.0,1.486988847583643,20.817843866171003,20.63197026022305,1,1,0
0,0.0,-0.7171378302704404,6,0.7096774193548386,9.107806691449815,20.817843866171003,20.63197026022305,1,1,0
