periode_data,id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,year,month,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,odp_completion_rate,pdp_recovery_rate,case_fatality_rate,recovery_rate,active_case_rate,total_surveillance,composite_risk_index,severity_score,hospitalization_rate,kecamatan_avg_positif,kecamatan_avg_cfr
202005,3173071002,DKI JAKARTA,JAKARTA BARAT,PALMERAH,SLIPI,2020,5,10,0,10,3,1,2,7,3,0,0,4,1.0,0.6666666666666666,0.0,0.0,1.0,20,0.13657555363326518,0.12857142857142856,0.42857142857142855,12.167,0.047
202005,3174091004,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,2020,5,16,0,16,7,0,7,9,5,0,0,4,1.0,1.0,0.0,0.0,1.0,32,0.15032293996821966,0.16666666666666666,0.5555555555555556,11.5,0.06
202005,3173071005,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,2020,5,13,0,13,9,2,7,15,5,1,2,7,1.0,0.7777777777777778,0.13333333333333333,0.06666666666666667,0.8,37,0.15827323983000618,0.1933333333333333,0.3333333333333333,12.167,0.047
202005,3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,2020,5,13,0,13,8,4,4,9,7,1,0,1,1.0,0.5,0.0,0.1111111111111111,0.8888888888888888,30,0.18843475902132636,0.23333333333333334,0.7777777777777778,4.875,0.042
202005,3171011005,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,2020,5,20,0,20,3,2,1,7,0,1,1,5,1.0,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.7142857142857143,30,0.16153933418472505,0.09999999999999999,0.0,5.667,0.143
202005,3171041003,DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,2020,5,47,1,46,14,5,9,15,10,1,0,4,0.9787234042553191,0.6428571428571429,0.0,0.06666666666666667,0.9333333333333333,76,0.19116264068782696,0.19999999999999998,0.6666666666666666,9.667,0.075
202005,3175081003,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,2020,5,10,0,10,8,1,7,2,1,1,0,0,1.0,0.875,0.0,0.5,0.5,20,0.12392382627565549,0.15,0.5,9.8,0.122
202005,3172031002,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,2020,5,40,4,36,18,5,13,18,7,1,2,8,0.9,0.7222222222222222,0.1111111111111111,0.05555555555555555,0.8333333333333334,76,0.17210879692810083,0.19444444444444442,0.3888888888888889,9.667,0.019
202005,3174041006,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,2020,5,27,1,26,7,5,2,13,7,0,2,4,0.9629629629629629,0.2857142857142857,0.15384615384615385,0.0,0.8461538461538461,47,0.2447046159667087,0.2692307692307692,0.5384615384615384,11.714,0.143
202005,3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,2020,5,12,0,12,6,1,5,13,6,3,1,3,1.0,0.8333333333333334,0.07692307692307693,0.23076923076923078,0.6923076923076923,31,0.16454422333661745,0.19230769230769232,0.46153846153846156,12.5,0.1
202005,3175071003,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,2020,5,23,0,23,8,4,4,29,15,3,6,5,1.0,0.5,0.20689655172413793,0.10344827586206896,0.6896551724137931,60,0.25422245921912334,0.3,0.5172413793103449,20.143,0.176
202005,3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,2020,5,25,0,25,12,7,5,21,14,1,0,6,1.0,0.4166666666666667,0.0,0.047619047619047616,0.9523809523809523,58,0.17294118770266886,0.19999999999999998,0.6666666666666666,13.167,0.184
202005,3172051002,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,2020,5,69,3,66,10,0,10,54,17,1,4,32,0.9565217391304348,1.0,0.07407407407407407,0.018518518518518517,0.9074074074074074,133,0.2044104381971612,0.14629629629629629,0.3148148148148148,24.667,0.072
